bm-config,Data Proc Reg (user),Data Proc Reg (kernel),Scalar FP (user),Scalar FP (kernel),branches (user),branches (kernel),data proc imm (user),data proc imm (kernel),loads and stores (user),loads and stores (kernel),morello arith (user),morello arith (kernel),morello ld/st (user),morello ld/st (kernel),morello misc (user),morello misc (kernel),morello regs (user),morello regs (kernel),
barnes-purecap,996999803,123897251,4210100902,0,1336023789,492781016,2464255072,362266639,6937190381,766573446,1378925696,101778,3155612165,24511471,791204437,1122369,212664,2575723,
barnes-hybrid,1200987527,107374472,4211897929,0,1918029281,409609099,3066268751,279571089,10069001327,581537522,11267374,101634,14551873,16852732,13300797,1079485,212891,1442606,
binary_tree-purecap,242970618,98788754,2199018,0,505439424,363351733,911870648,232380706,857968002,477220071,516240745,101469,786682969,13898171,676814514,1071163,30531391,1016015,
binary_tree-hybrid,408807312,93757281,1609711,0,553357477,336248408,827667250,204136376,1474743710,417409530,11890543,112476,25847559,11061600,14040748,1077502,245839,567849,
cfrac-purecap,4205759601,137702530,17191311,0,7175383652,573829022,10479642111,452361475,13626013265,987963944,4762108875,101829,4245724121,40047072,5021653251,1180180,184095415,4831595,
cfrac-hybrid,6535074887,108299620,22901042,0,7768470395,418413019,10514459912,293758583,17661155482,623971696,11280472,101744,14605046,21710968,13313628,1100467,213199,2142613,
espresso-purecap,2253873318,121058820,16103479,0,7346883116,496978774,7938584428,374631893,12125767323,793328412,1829858646,102902,2821036717,35311968,1780278526,1569979,67888954,3300595,
espresso-hybrid,3201163806,108099413,24296583,0,7525293817,425676134,7581438661,300319761,14526985151,623245921,11273549,106688,28878328,26581015,13306254,1618663,212398,1990995,
glibc_simple-purecap,1469790507,131371039,7894665,0,3830247455,541873159,13913868443,420048185,9102086730,914385083,3106257286,101728,6707917986,36266099,3260655218,1165739,198485020,4253712,
glibc_simple-hybrid,4924610097,101294240,5418379,0,4055484892,381649625,9934945653,256806650,14214228895,538939790,11237896,101561,55584126,17431332,13259563,1085667,210200,1517019,
mstress-purecap,844443722,120202134,985022,0,522754728,496044797,219152919,381750673,630147239,742044595,644025400,101977,537942569,24703690,492795540,1098071,6359505,2931671,
mstress-hybrid,509151988,96592370,86957218,0,481470747,356833441,613421135,231153944,846558387,468602400,11256157,101969,15858577,11393771,13281171,1069864,210121,642943,
richards-purecap,1871223049,161276576,151379,0,9134137806,701179772,7128636084,585960795,9843227621,1292431342,2249851945,101937,17779814274,54324829,3083194261,1240519,353601,6912507,
richards-hybrid,2174287712,116127743,170376,0,10481593838,458958766,8653665834,333692920,25332159323,714709539,11273081,101695,14554939,25740350,13299421,1114750,210822,2723584,
